bin_1 	bin_2 	enrichment_value
6 	7 	8.723521
6 	18 	2.541236
6 	19 	2.0928304
6 	36 	4.5710754
6 	37 	4.6140165
6 	38 	7.7824974
6 	41 	2.127355
6 	43 	3.6754348
6 	45 	4.7529106
6 	46 	6.8505716
6 	47 	5.8355994
6 	56 	2.985092
7 	18 	2.4713552
7 	36 	2.2579691
7 	37 	4.029266
7 	38 	3.9921699
7 	41 	1.1822032
7 	43 	1.2254966
7 	45 	3.5216854
7 	46 	1.2689886
7 	51 	1.8372684
7 	53 	1.3082128
18 	19 	5.78318
18 	37 	3.8658907
18 	38 	5.2666607
18 	43 	5.029838
18 	45 	1.0324389
18 	47 	3.1114388
18 	51 	3.2317495
18 	53 	1.5340949
18 	58 	2.2397323
18 	72 	2.4390638
18 	78 	1.1901451
18 	192 	1.0715612
19 	36 	1.226601
19 	37 	3.1837475
19 	38 	3.855421
19 	41 	1.7125616
19 	43 	2.9587958
19 	45 	2.125658
19 	47 	1.2812098
19 	53 	1.8951017
19 	56 	1.2015281
36 	37 	7.9858685
36 	38 	6.081728
36 	45 	1.6507648
36 	46 	3.5689757
36 	47 	2.4874368
36 	51 	1.7224128
36 	53 	1.8396461
36 	58 	1.7905521
36 	146 	1.0728612
36 	163 	1.6333857
37 	38 	14.800217
37 	41 	2.1575124
37 	43 	1.4910152
37 	45 	2.1423502
37 	46 	2.3158953
37 	47 	3.7662065
37 	58 	2.323765
37 	78 	1.2347982
37 	83 	1.1331294
38 	41 	1.9595113
38 	43 	4.7396317
38 	45 	4.8643513
38 	46 	2.103359
38 	47 	2.9319181
38 	56 	2.7495747
38 	62 	1.3754052
38 	75 	1.2586254
38 	122 	2.6782176
38 	146 	1.2645713
41 	43 	7.218254
41 	46 	14.948849
41 	47 	5.209382
41 	53 	2.5684857
41 	192 	3.588161
43 	45 	4.1810575
43 	46 	7.7481456
43 	47 	4.2001204
43 	51 	2.492873
43 	56 	1.6881018
43 	57 	1.0473112
43 	58 	2.5914917
45 	46 	8.159813
45 	47 	3.9399636
45 	53 	3.1880443
45 	56 	3.6382985
45 	72 	4.054948
46 	47 	10.811254
46 	51 	3.8720145
46 	53 	5.5140767
46 	56 	5.2440343
46 	163 	3.6718802
47 	51 	2.6986432
47 	53 	1.281032
47 	56 	1.2182956
47 	57 	1.5116798
47 	58 	7.4810724
47 	72 	2.036718
47 	75 	1.6730347
47 	78 	2.9814596
47 	80 	4.2739654
47 	146 	1.1206254
47 	222 	2.5063934
51 	53 	3.9916978
51 	56 	5.061615
51 	57 	3.1402645
51 	58 	15.540689
51 	62 	1.6879631
51 	75 	4.6339364
51 	77 	1.487564
51 	80 	4.439228
51 	82 	1.190189
51 	83 	1.894513
53 	56 	1.802042
53 	57 	8.944004
53 	58 	16.598444
53 	62 	1.8028517
53 	71 	21.130375
53 	75 	2.474669
53 	77 	3.1776252
53 	78 	2.9400172
53 	83 	1.3489734
53 	146 	1.6575731
53 	163 	2.5235848
56 	57 	18.921331
56 	58 	5.261854
56 	62 	2.2860804
56 	72 	5.7301474
56 	75 	1.5689843
56 	77 	2.014671
56 	78 	5.5920696
56 	82 	1.6119237
56 	163 	2.3999965
57 	58 	20.784016
57 	62 	4.2549043
57 	71 	24.934866
57 	72 	3.5550275
57 	75 	1.9468195
57 	77 	4.9996686
57 	78 	10.408089
57 	83 	3.183708
57 	163 	4.4669285
58 	62 	7.018958
58 	71 	61.69943
58 	72 	8.796643
58 	75 	14.45177
58 	77 	6.18565
58 	78 	4.292337
58 	80 	18.459381
58 	82 	2.474547
58 	83 	7.8778424
58 	163 	3.684358
58 	190 	6.8284287
58 	194 	18.728003
58 	237 	1.6544521
58 	239 	2.7129424
62 	71 	40.209167
62 	72 	9.554538
62 	75 	2.0929189
62 	77 	1.3437175
62 	78 	1.864861
62 	80 	4.009958
62 	82 	3.762845
62 	192 	3.3580987
71 	72 	119.185265
71 	75 	55.192764
71 	82 	18.901087
72 	75 	13.114954
72 	77 	3.3680797
72 	78 	4.674345
72 	80 	10.051113
72 	82 	5.389552
75 	77 	8.299991
75 	78 	10.239141
75 	82 	3.6893125
75 	83 	1.174511
75 	146 	1.4431994
75 	163 	1.0986052
75 	194 	5.584332
75 	222 	3.2278636
77 	78 	18.078058
77 	80 	7.0677705
77 	82 	4.737301
77 	83 	1.5081434
77 	122 	7.8495445
77 	192 	1.4797084
78 	80 	14.713371
78 	82 	6.5746017
78 	83 	6.279171
78 	163 	1.9577876
78 	192 	2.0535944
78 	193 	13.835463
78 	222 	5.7522693
80 	82 	5.6548724
80 	83 	13.5019245
80 	122 	23.424822
80 	237 	1.8903897
80 	238 	2.101282
82 	83 	17.764616
82 	146 	1.4826963
82 	163 	4.514685
82 	190 	2.0918305
82 	193 	3.9880955
83 	146 	2.3601189
83 	163 	3.593181
83 	193 	6.34815
83 	194 	9.132269
83 	237 	1.6135093
146 	163 	4.4151797
163 	190 	3.1145308
163 	192 	1.7627174
163 	193 	5.937884
163 	222 	4.937501
163 	240 	1.349787
190 	192 	9.800831
190 	222 	9.15095
190 	239 	2.2933552
192 	193 	25.888395
192 	194 	17.920176
192 	238 	3.5193949
193 	238 	2.963856
237 	238 	8.070899
237 	239 	4.4452353
237 	240 	2.4244747
238 	239 	8.507212
238 	240 	7.411111
239 	240 	11.205172
